model,size_mb,conf_threshold,map50,map50_95,conf_tuning_metrics
yolo11n,5.353580474853516,0.6,0.6115408322728453,0.4659003750214895,"[{'conf': 0.001, 'map50': 0.4974923349321116}, {'conf': 0.1, 'map50': 0.5367708274186633}, {'conf': 0.2, 'map50': 0.5605082470562087}, {'conf': 0.3, 'map50': 0.5834925699777269}, {'conf': 0.4, 'map50': 0.5948233534344075}, {'conf': 0.5, 'map50': 0.602336130556932}, {'conf': 0.6, 'map50': 0.6091880959894649}, {'conf': 0.7, 'map50': 0.6071538953711857}, {'conf': 0.8, 'map50': 0.6005598801998229}, {'conf': 0.9, 'map50': 0.5243654701965244}, {'conf': 0.95, 'map50': 0.5056758620689654}]"
yolo11s,18.418888092041016,0.5,0.6056623887030748,0.41549391008296066,"[{'conf': 0.001, 'map50': 0.5171189355467097}, {'conf': 0.1, 'map50': 0.5538770501841159}, {'conf': 0.2, 'map50': 0.5739964768397254}, {'conf': 0.3, 'map50': 0.59175253882988}, {'conf': 0.4, 'map50': 0.6020289810187299}, {'conf': 0.5, 'map50': 0.6089952254577895}, {'conf': 0.6, 'map50': 0.6038237166300386}, {'conf': 0.7, 'map50': 0.5957760962154537}, {'conf': 0.8, 'map50': 0.5737102255497226}, {'conf': 0.9, 'map50': 0.5068064516129033}, {'conf': 0.95, 'map50': 0.0}]"
yolo12n,5.332874298095703,0.7,0.5942213393701813,0.4841825717841727,"[{'conf': 0.001, 'map50': 0.5055232899664925}, {'conf': 0.1, 'map50': 0.5509806239872213}, {'conf': 0.2, 'map50': 0.577431280797279}, {'conf': 0.3, 'map50': 0.5815259761478537}, {'conf': 0.4, 'map50': 0.5962916024476239}, {'conf': 0.5, 'map50': 0.600772294274696}, {'conf': 0.6, 'map50': 0.5994414654248784}, {'conf': 0.7, 'map50': 0.6008487509275047}, {'conf': 0.8, 'map50': 0.5874552604802659}, {'conf': 0.9, 'map50': 0.54545}, {'conf': 0.95, 'map50': 0.5022602739726026}]"
yolo12s,18.122730255126953,0.7,0.5918479408069071,0.49118030030762805,"[{'conf': 0.001, 'map50': 0.4968716634276453}, {'conf': 0.1, 'map50': 0.541920636450494}, {'conf': 0.2, 'map50': 0.5632464039109415}, {'conf': 0.3, 'map50': 0.5799162525628189}, {'conf': 0.4, 'map50': 0.5815064830040111}, {'conf': 0.5, 'map50': 0.5864162333512118}, {'conf': 0.6, 'map50': 0.5923540754675869}, {'conf': 0.7, 'map50': 0.5944524282977091}, {'conf': 0.8, 'map50': 0.5720345922572798}, {'conf': 0.9, 'map50': 0.5306755447941887}, {'conf': 0.95, 'map50': 0.5045412844036696}]"
