epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9739,1.55035,2.26248,1.36429,0.3911,0.33409,0.29262,0.13965,1.71538,3.27965,1.36976,0.000652778,0.000652778,0.000652778
2,64.6873,1.63602,1.79877,1.368,0.12319,0.28182,0.1272,0.04899,1.98471,16.3637,1.74664,0.00130638,0.00130638,0.00130638
3,96.1146,1.72717,1.91497,1.46253,0.11134,0.125,0.03599,0.01414,2.05847,38.5294,2.20631,0.00194679,0.00194679,0.00194679
4,129.455,1.72365,1.88207,1.45667,0.23206,0.25909,0.14538,0.06935,2.03715,6.06987,1.63427,0.0019406,0.0019406,0.0019406
5,161.396,1.69407,1.80584,1.44214,0.21286,0.17024,0.10994,0.05263,1.9429,7.10125,1.72865,0.0019208,0.0019208,0.0019208
6,193.603,1.69512,1.80624,1.42523,0.41621,0.25,0.23617,0.12458,1.89282,2.36411,1.55913,0.001901,0.001901,0.001901
7,225.335,1.65138,1.72989,1.41522,0.40887,0.32727,0.29715,0.16007,1.79201,2.48734,1.45699,0.0018812,0.0018812,0.0018812
8,258.41,1.6531,1.74772,1.39183,0.48681,0.33409,0.32309,0.17463,1.78514,2.18684,1.41614,0.0018614,0.0018614,0.0018614
9,290.324,1.60713,1.66881,1.3688,0.57322,0.30526,0.34112,0.19434,1.6924,2.00639,1.38769,0.0018416,0.0018416,0.0018416
10,322.15,1.5751,1.62119,1.3545,0.48434,0.34368,0.34587,0.20167,1.66177,1.96376,1.36662,0.0018218,0.0018218,0.0018218
11,354.161,1.58401,1.67149,1.36788,0.43202,0.31136,0.30431,0.16936,1.7009,1.91207,1.37557,0.001802,0.001802,0.001802
12,388.138,1.53983,1.59348,1.32643,0.52853,0.34649,0.35976,0.18355,1.76812,1.73003,1.38121,0.0017822,0.0017822,0.0017822
13,421.852,1.55525,1.60535,1.33424,0.49056,0.29773,0.32637,0.17993,1.78355,1.98451,1.39645,0.0017624,0.0017624,0.0017624
14,454.916,1.50354,1.55448,1.31999,0.49466,0.32703,0.34514,0.18814,1.77041,1.84628,1.3894,0.0017426,0.0017426,0.0017426
15,487.538,1.51667,1.55317,1.31452,0.48494,0.35,0.34679,0.19111,1.69298,1.70288,1.36419,0.0017228,0.0017228,0.0017228
16,520.401,1.51905,1.55884,1.311,0.54646,0.34545,0.37321,0.21399,1.69018,1.86605,1.33663,0.001703,0.001703,0.001703
17,552.592,1.52683,1.52714,1.32667,0.47624,0.38636,0.36465,0.20114,1.72649,2.16368,1.3498,0.0016832,0.0016832,0.0016832
18,583.814,1.50335,1.49467,1.32375,0.56427,0.35455,0.38001,0.20927,1.67701,1.96935,1.33508,0.0016634,0.0016634,0.0016634
