epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6785,3.23951,7.35272,2.62034,0.24616,0.10909,0.06985,0.03683,3.69963,8.7559,2.70198,0.000655367,0.000655367,0.000655367
2,66.7466,3.53818,6.12373,2.76785,0.23256,0.15,0.09343,0.03996,4.28057,11.5151,3.5447,0.00130895,0.00130895,0.00130895
3,99.4566,3.7082,5.3668,2.83393,0.33747,0.17955,0.13358,0.06134,4.32054,10.6783,3.41316,0.00194932,0.00194932,0.00194932
4,131.538,3.65887,4.94167,2.81464,0.37174,0.17045,0.14894,0.07594,4.20737,7.59186,3.37936,0.0019406,0.0019406,0.0019406
5,166.789,3.61132,4.62404,2.82318,0.43166,0.23864,0.21056,0.11088,4.00379,5.08905,2.95541,0.0019208,0.0019208,0.0019208
6,198.587,3.56671,4.31582,2.75387,0.41349,0.26919,0.24074,0.12449,3.81499,5.22106,2.82572,0.001901,0.001901,0.001901
7,231.148,3.53488,4.20363,2.72195,0.41663,0.2,0.18823,0.10194,3.85564,5.1668,2.94634,0.0018812,0.0018812,0.0018812
8,263.054,3.4036,4.09962,2.74246,0.43159,0.22261,0.19889,0.09823,4.17188,6.04679,3.00236,0.0018614,0.0018614,0.0018614
9,298.049,3.4996,4.06537,2.73191,0.40312,0.31136,0.27957,0.15844,3.67785,4.69133,2.74679,0.0018416,0.0018416,0.0018416
10,330.085,3.40321,3.98133,2.71603,0.45327,0.30227,0.27856,0.16485,3.73263,4.62901,2.80867,0.0018218,0.0018218,0.0018218
11,362.482,3.38644,3.85292,2.67936,0.37973,0.32955,0.28435,0.15601,3.86793,4.16753,2.83567,0.001802,0.001802,0.001802
12,394.802,3.40671,3.93241,2.61823,0.40332,0.32273,0.29189,0.14646,4.13419,4.38106,2.95303,0.0017822,0.0017822,0.0017822
13,429.351,3.35287,3.79788,2.63092,0.44672,0.32727,0.31186,0.17212,3.81051,4.00189,2.73929,0.0017624,0.0017624,0.0017624
14,461.692,3.39949,3.72485,2.64054,0.45751,0.30682,0.28194,0.15399,3.69133,4.19982,2.77012,0.0017426,0.0017426,0.0017426
15,493.343,3.33722,3.73547,2.65477,0.54717,0.31136,0.30951,0.18202,3.58846,4.39929,2.70379,0.0017228,0.0017228,0.0017228
16,526.621,3.32772,3.74791,2.61319,0.43806,0.30455,0.28896,0.16759,3.69159,4.33905,2.72741,0.001703,0.001703,0.001703
17,560.957,3.3635,3.74943,2.65425,0.41793,0.35909,0.31995,0.19826,3.49729,4.46348,2.63593,0.0016832,0.0016832,0.0016832
18,593.353,3.27944,3.67436,2.61553,0.50244,0.33409,0.33603,0.1943,3.59035,3.73486,2.66616,0.0016634,0.0016634,0.0016634
19,626.243,3.29563,3.52141,2.57536,0.46993,0.34051,0.32221,0.17888,3.72555,4.39447,2.66247,0.0016436,0.0016436,0.0016436
20,658.539,3.25509,3.56244,2.60992,0.5398,0.34318,0.34608,0.20447,3.51405,3.88575,2.60234,0.0016238,0.0016238,0.0016238
21,692.665,3.32509,3.56379,2.61265,0.51896,0.34816,0.32821,0.17719,3.91117,4.03147,2.71865,0.001604,0.001604,0.001604
22,725.606,3.28911,3.47156,2.5567,0.57653,0.33864,0.36149,0.2109,3.59393,3.82427,2.67661,0.0015842,0.0015842,0.0015842
23,758.065,3.2903,3.53664,2.56821,0.54275,0.32727,0.34392,0.19856,3.65781,3.83801,2.66198,0.0015644,0.0015644,0.0015644
24,790.716,3.21912,3.4804,2.58154,0.53394,0.33409,0.35057,0.19548,3.62387,3.71945,2.67528,0.0015446,0.0015446,0.0015446
25,824.862,3.2388,3.50657,2.5766,0.50398,0.34868,0.3688,0.22268,3.52793,3.71963,2.61052,0.0015248,0.0015248,0.0015248
26,858.015,3.20711,3.3708,2.5192,0.51521,0.34298,0.33686,0.2061,3.45725,3.69288,2.58207,0.001505,0.001505,0.001505
27,890.094,3.21344,3.41517,2.56297,0.5217,0.35449,0.35934,0.20741,3.53499,3.66709,2.57736,0.0014852,0.0014852,0.0014852
28,922.433,3.21435,3.37514,2.56419,0.52982,0.34574,0.3644,0.2106,3.67437,3.8723,2.72562,0.0014654,0.0014654,0.0014654
29,956.996,3.13677,3.35022,2.5058,0.49893,0.31136,0.32758,0.18849,3.66768,4.24582,2.71192,0.0014456,0.0014456,0.0014456
30,990.416,3.0983,3.19049,2.51146,0.53503,0.33182,0.3718,0.22299,3.44236,3.74455,2.56633,0.0014258,0.0014258,0.0014258
31,1022.68,3.12078,3.23967,2.53137,0.52929,0.36545,0.3913,0.21942,3.67487,3.50022,2.7182,0.001406,0.001406,0.001406
32,1055.27,3.15061,3.257,2.50931,0.69119,0.33864,0.40748,0.2232,3.7458,3.78559,2.65769,0.0013862,0.0013862,0.0013862
33,1089.43,3.19048,3.3135,2.50524,0.4956,0.33636,0.37129,0.21054,3.57353,3.85593,2.62959,0.0013664,0.0013664,0.0013664
34,1123.34,3.1207,3.28612,2.57087,0.45822,0.375,0.36187,0.21679,3.66616,3.66283,2.62205,0.0013466,0.0013466,0.0013466
35,1154.62,3.16614,3.20882,2.51793,0.60388,0.34318,0.39446,0.22206,3.77818,3.62361,2.69721,0.0013268,0.0013268,0.0013268
36,1187.81,3.10432,3.27163,2.50585,0.57389,0.33977,0.37765,0.22029,3.5282,3.80714,2.61105,0.001307,0.001307,0.001307
37,1220.13,3.11708,3.15214,2.48491,0.47979,0.35227,0.35407,0.20775,3.49652,3.80684,2.58231,0.0012872,0.0012872,0.0012872
38,1254.9,3.10399,3.15393,2.46575,0.55654,0.38864,0.40805,0.22951,3.54566,3.55763,2.64725,0.0012674,0.0012674,0.0012674
39,1287.94,3.13228,3.17658,2.50488,0.70495,0.30952,0.39553,0.21581,3.6042,3.75925,2.63925,0.0012476,0.0012476,0.0012476
40,1320.12,3.02061,3.04962,2.48667,0.56598,0.38233,0.39816,0.21925,3.67694,3.5227,2.70053,0.0012278,0.0012278,0.0012278
41,1352.78,3.11485,3.18344,2.47979,0.63957,0.367,0.40386,0.24496,3.40406,3.58458,2.55214,0.001208,0.001208,0.001208
42,1386.92,2.98829,3.13014,2.47232,0.54648,0.35682,0.38349,0.22649,3.33194,3.5784,2.52471,0.0011882,0.0011882,0.0011882
43,1419.53,3.00219,3.17002,2.46,0.61195,0.36136,0.40834,0.2411,3.65282,3.50249,2.68104,0.0011684,0.0011684,0.0011684
44,1451.99,3.0039,3.03437,2.44406,0.61361,0.35,0.39966,0.23485,3.47864,3.5067,2.60804,0.0011486,0.0011486,0.0011486
45,1484.47,2.98283,3.09361,2.45266,0.63235,0.36136,0.41086,0.23543,3.6321,3.69794,2.61917,0.0011288,0.0011288,0.0011288
46,1518.85,3.00081,3.03663,2.43281,0.51888,0.4,0.40102,0.23939,3.4052,3.69024,2.50832,0.001109,0.001109,0.001109
47,1551.49,2.99971,3.04628,2.41214,0.58449,0.375,0.40937,0.23304,3.67819,3.69405,2.66271,0.0010892,0.0010892,0.0010892
48,1583.35,2.99297,2.93916,2.42439,0.6788,0.36136,0.42636,0.25052,3.56821,3.49349,2.584,0.0010694,0.0010694,0.0010694
49,1615.68,3.00785,2.97382,2.43472,0.59849,0.37273,0.42417,0.23737,3.63,3.56529,2.63663,0.0010496,0.0010496,0.0010496
50,1650.6,2.91341,2.99239,2.42013,0.52284,0.38864,0.39485,0.2212,3.61823,3.62559,2.61534,0.0010298,0.0010298,0.0010298
51,1683,2.98445,2.88928,2.41811,0.59956,0.39318,0.41557,0.24412,3.5185,3.57544,2.57263,0.00101,0.00101,0.00101
52,1714.7,2.96914,2.95036,2.44977,0.61905,0.35909,0.41277,0.23234,3.58626,3.5196,2.63095,0.0009902,0.0009902,0.0009902
53,1747.76,3.00506,2.96446,2.4621,0.65947,0.36531,0.43431,0.24186,3.63012,3.39119,2.6192,0.0009704,0.0009704,0.0009704
54,1782.38,2.99573,2.9278,2.40965,0.56666,0.37955,0.39347,0.23674,3.44538,3.66587,2.59367,0.0009506,0.0009506,0.0009506
55,1814.07,2.97138,2.87604,2.42114,0.59289,0.40455,0.44096,0.24639,3.64925,3.52144,2.64283,0.0009308,0.0009308,0.0009308
56,1846.8,2.95847,2.94115,2.44273,0.74456,0.35,0.44087,0.25682,3.47346,3.38594,2.57273,0.000911,0.000911,0.000911
57,1878.66,2.93334,2.86461,2.40485,0.60508,0.35909,0.42731,0.24871,3.48078,3.46914,2.55932,0.0008912,0.0008912,0.0008912
58,1913.07,2.89598,2.86738,2.41586,0.55023,0.39318,0.41678,0.23747,3.59437,3.50434,2.61164,0.0008714,0.0008714,0.0008714
59,1945.3,2.93423,2.87552,2.4069,0.70049,0.35081,0.42972,0.25247,3.50981,3.37975,2.58043,0.0008516,0.0008516,0.0008516
60,1977.88,2.89232,2.78864,2.37748,0.62455,0.36818,0.42504,0.25541,3.42289,3.54738,2.51883,0.0008318,0.0008318,0.0008318
61,2010.5,2.92247,2.83423,2.37256,0.62514,0.38864,0.43446,0.23882,3.63561,3.49822,2.6108,0.000812,0.000812,0.000812
62,2043.95,2.88271,2.81052,2.4271,0.58795,0.39545,0.42988,0.26,3.47156,3.44135,2.58095,0.0007922,0.0007922,0.0007922
63,2077.25,2.96005,2.91567,2.39727,0.61056,0.37727,0.43685,0.24499,3.61944,3.41497,2.61146,0.0007724,0.0007724,0.0007724
64,2109.05,2.91016,2.81925,2.38782,0.58391,0.40455,0.4392,0.26279,3.52022,3.50251,2.60548,0.0007526,0.0007526,0.0007526
65,2141.9,2.88309,2.75609,2.37141,0.63991,0.39176,0.44081,0.25901,3.56888,3.34607,2.56658,0.0007328,0.0007328,0.0007328
66,2176.08,2.94243,2.78361,2.38189,0.64037,0.35455,0.41628,0.24448,3.64152,3.55583,2.6076,0.000713,0.000713,0.000713
67,2208,2.85877,2.72469,2.34602,0.63885,0.41007,0.44059,0.25351,3.60468,3.49318,2.62433,0.0006932,0.0006932,0.0006932
68,2240.22,2.88466,2.77985,2.3812,0.61641,0.39078,0.44575,0.27184,3.48123,3.56252,2.54454,0.0006734,0.0006734,0.0006734
69,2273.18,2.89837,2.73062,2.35476,0.60312,0.41136,0.44589,0.27342,3.52764,3.33129,2.54884,0.0006536,0.0006536,0.0006536
70,2308.01,2.83136,2.65045,2.3327,0.66218,0.42727,0.47081,0.28024,3.50221,3.3513,2.55201,0.0006338,0.0006338,0.0006338
71,2340.82,2.98602,2.79181,2.37075,0.67047,0.40455,0.46541,0.27797,3.54994,3.49349,2.59109,0.000614,0.000614,0.000614
72,2373.25,2.78442,2.60858,2.31388,0.69104,0.40909,0.45418,0.28069,3.33923,3.27502,2.51961,0.0005942,0.0005942,0.0005942
73,2405.42,2.88557,2.70327,2.33658,0.63993,0.40682,0.4521,0.26494,3.48233,3.57181,2.56785,0.0005744,0.0005744,0.0005744
74,2440.18,2.82802,2.68016,2.34407,0.618,0.39091,0.42315,0.25025,3.42459,3.78248,2.5509,0.0005546,0.0005546,0.0005546
75,2472.29,2.79705,2.66291,2.35074,0.64159,0.41136,0.464,0.28824,3.35871,3.41697,2.54901,0.0005348,0.0005348,0.0005348
76,2504.85,2.76544,2.70696,2.34008,0.61978,0.41121,0.45201,0.28254,3.36721,3.38884,2.51738,0.000515,0.000515,0.000515
77,2537.16,2.74817,2.62483,2.32053,0.5547,0.39545,0.4237,0.26861,3.16494,3.63474,2.46228,0.0004952,0.0004952,0.0004952
78,2572.65,2.74143,2.61064,2.29163,0.60508,0.43636,0.4526,0.28772,3.18206,3.32429,2.47525,0.0004754,0.0004754,0.0004754
79,2604.94,2.74591,2.57484,2.28485,0.61928,0.42144,0.45595,0.28979,3.22972,3.4098,2.49106,0.0004556,0.0004556,0.0004556
80,2637.38,2.78351,2.61151,2.305,0.59612,0.42603,0.45943,0.29434,3.14603,3.33058,2.48174,0.0004358,0.0004358,0.0004358
81,2668.9,2.70216,2.57547,2.27841,0.60357,0.42907,0.45175,0.30295,3.06516,3.32402,2.46362,0.000416,0.000416,0.000416
82,2703.93,2.74459,2.60097,2.27894,0.6139,0.43182,0.4582,0.30138,2.97465,3.22347,2.41043,0.0003962,0.0003962,0.0003962
83,2736.5,2.69765,2.47339,2.27081,0.63157,0.42855,0.46944,0.30897,2.89781,3.30411,2.39249,0.0003764,0.0003764,0.0003764
84,2768.3,2.6964,2.5113,2.29544,0.69574,0.37045,0.4435,0.2932,2.9617,3.33221,2.39578,0.0003566,0.0003566,0.0003566
85,2801.6,2.71913,2.58345,2.29251,0.62394,0.42955,0.47369,0.31364,2.96878,3.05653,2.40316,0.0003368,0.0003368,0.0003368
86,2836.07,2.70235,2.55956,2.27333,0.60074,0.43182,0.46524,0.30969,2.88881,3.20484,2.39573,0.000317,0.000317,0.000317
