epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9277,1.53193,2.4176,1.33739,0.48098,0.31364,0.26711,0.12499,1.69325,2.44462,1.37984,0.000653333,0.000653333,0.000653333
2,66.9648,1.57305,1.76864,1.37401,0.0536,0.30455,0.03143,0.01447,1.91902,12.5931,2.00051,0.00130693,0.00130693,0.00130693
3,100.366,1.68985,1.86905,1.45772,0.02874,0.05455,0.01258,0.00541,2.04201,39.595,2.01882,0.00194733,0.00194733,0.00194733
4,134.22,1.69113,1.83159,1.44598,0.31497,0.18409,0.1445,0.0745,2.06343,4.06437,1.78003,0.0019406,0.0019406,0.0019406
5,166.598,1.68056,1.84633,1.46358,0.40278,0.24545,0.24228,0.13793,1.68254,3.54686,1.44459,0.0019208,0.0019208,0.0019208
6,200.509,1.62775,1.73839,1.41724,0.42004,0.29318,0.25569,0.13578,1.72041,2.6595,1.4974,0.001901,0.001901,0.001901
7,233.36,1.57265,1.667,1.38747,0.4717,0.29773,0.29272,0.16226,1.74438,1.99145,1.54716,0.0018812,0.0018812,0.0018812
8,267.581,1.61889,1.72075,1.40391,0.51545,0.3,0.30208,0.17271,1.61603,2.63755,1.39657,0.0018614,0.0018614,0.0018614
9,300.714,1.57023,1.63106,1.39273,0.54515,0.33864,0.33763,0.17214,1.74852,1.88261,1.41385,0.0018416,0.0018416,0.0018416
10,334.89,1.57216,1.62989,1.3716,0.56817,0.31698,0.32246,0.17636,1.77125,2.18304,1.43085,0.0018218,0.0018218,0.0018218
11,367.715,1.55019,1.56667,1.3664,0.53171,0.33805,0.34312,0.18708,1.70737,1.97902,1.39403,0.001802,0.001802,0.001802
12,401.598,1.53682,1.55619,1.35212,0.59281,0.35,0.37105,0.21233,1.60577,1.76929,1.37989,0.0017822,0.0017822,0.0017822
13,434.995,1.49348,1.51548,1.34344,0.58203,0.35682,0.38429,0.23292,1.50811,1.61758,1.30857,0.0017624,0.0017624,0.0017624
14,469.03,1.51864,1.49494,1.33953,0.51829,0.3399,0.34379,0.19369,1.63432,1.96331,1.34989,0.0017426,0.0017426,0.0017426
15,501.445,1.48384,1.48859,1.33455,0.48687,0.35227,0.36522,0.21747,1.60318,1.89772,1.36565,0.0017228,0.0017228,0.0017228
16,535.2,1.49416,1.50255,1.33186,0.60167,0.33409,0.37832,0.22034,1.57602,1.74855,1.35323,0.001703,0.001703,0.001703
17,567.478,1.48349,1.46164,1.32009,0.53103,0.37573,0.39181,0.22668,1.54945,1.87009,1.3026,0.0016832,0.0016832,0.0016832
18,601.599,1.45928,1.449,1.30586,0.54064,0.375,0.38696,0.23999,1.41201,1.76596,1.26791,0.0016634,0.0016634,0.0016634
19,633.836,1.46769,1.45966,1.31152,0.52732,0.37273,0.37389,0.2196,1.59543,1.87948,1.3581,0.0016436,0.0016436,0.0016436
20,667.322,1.44546,1.42957,1.31503,0.50556,0.4,0.40637,0.24353,1.47576,1.51285,1.29413,0.0016238,0.0016238,0.0016238
21,701.372,1.43678,1.41424,1.3056,0.568,0.375,0.38121,0.21505,1.59351,1.5739,1.34603,0.001604,0.001604,0.001604
22,733.27,1.43158,1.37982,1.30155,0.58863,0.40325,0.41248,0.2391,1.54659,1.64595,1.29566,0.0015842,0.0015842,0.0015842
23,767.73,1.42941,1.37771,1.29917,0.52799,0.39405,0.37736,0.21232,1.57351,1.69858,1.29646,0.0015644,0.0015644,0.0015644
24,800.346,1.39887,1.37029,1.27339,0.57474,0.37727,0.40798,0.23953,1.56581,1.5473,1.31081,0.0015446,0.0015446,0.0015446
25,834.401,1.40904,1.35213,1.30429,0.57135,0.36591,0.37575,0.23878,1.48481,1.80531,1.28408,0.0015248,0.0015248,0.0015248
26,866.373,1.41516,1.35467,1.28644,0.62205,0.39276,0.41982,0.2449,1.54703,1.60479,1.29197,0.001505,0.001505,0.001505
27,900.919,1.42979,1.37754,1.29161,0.56877,0.40682,0.43725,0.25533,1.57698,1.44251,1.30981,0.0014852,0.0014852,0.0014852
28,933.842,1.39101,1.30037,1.27647,0.60816,0.44545,0.45531,0.25293,1.59568,1.58513,1.311,0.0014654,0.0014654,0.0014654
