epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3125,1.5425,2.6599,1.32682,0.00444,0.45455,0.02219,0.00951,1.67578,3.53865,1.48841,0.000647619,0.000647619,0.000647619
2,71.2464,1.64074,2.14092,1.42552,0.04264,0.05909,0.01283,0.00499,1.77958,4.59527,1.9878,0.00130127,0.00130127,0.00130127
3,104.33,1.69248,2.07217,1.49621,0.06187,0.05455,0.01211,0.00377,2.17539,12.7452,2.56931,0.00194173,0.00194173,0.00194173
4,138.99,1.75404,2.02169,1.52068,0.12109,0.13409,0.04182,0.0186,1.96041,10.4907,1.94014,0.0019406,0.0019406,0.0019406
5,171.199,1.72303,1.91802,1.52074,0.24451,0.27727,0.14542,0.07092,1.96668,5.37107,1.82161,0.0019208,0.0019208,0.0019208
6,205.34,1.68379,1.87911,1.47849,0.30425,0.20455,0.15988,0.08253,1.82223,3.67927,1.5862,0.001901,0.001901,0.001901
7,238.56,1.62597,1.74031,1.4524,0.35197,0.325,0.24549,0.12622,1.80662,4.29354,1.6129,0.0018812,0.0018812,0.0018812
8,270.554,1.6259,1.74186,1.46116,0.43651,0.30455,0.28444,0.16227,1.61022,2.35294,1.45358,0.0018614,0.0018614,0.0018614
9,304.714,1.62305,1.72042,1.43718,0.42026,0.28636,0.26414,0.14944,1.64406,2.97853,1.42979,0.0018416,0.0018416,0.0018416
10,337.557,1.6137,1.72144,1.43197,0.38906,0.30682,0.26847,0.15979,1.60556,2.73765,1.43847,0.0018218,0.0018218,0.0018218
11,370.005,1.57743,1.66279,1.43011,0.62244,0.30723,0.34007,0.17835,1.75175,2.07472,1.46475,0.001802,0.001802,0.001802
12,403.863,1.58637,1.65623,1.41891,0.49277,0.31818,0.32012,0.1788,1.66076,2.46925,1.39724,0.0017822,0.0017822,0.0017822
13,436.62,1.58622,1.63846,1.43207,0.59884,0.30682,0.34705,0.19935,1.6539,1.71988,1.45849,0.0017624,0.0017624,0.0017624
14,469.509,1.54228,1.5535,1.40333,0.45457,0.32273,0.30158,0.16792,1.6712,1.94991,1.44789,0.0017426,0.0017426,0.0017426
15,500.237,1.5488,1.59294,1.39426,0.497,0.36591,0.35972,0.2071,1.61887,1.7274,1.40759,0.0017228,0.0017228,0.0017228
16,534.675,1.54029,1.56252,1.39895,0.55115,0.36001,0.37778,0.2191,1.60691,1.56053,1.39548,0.001703,0.001703,0.001703
17,566.467,1.51076,1.55291,1.37201,0.49843,0.35455,0.34566,0.18009,1.65079,2.45471,1.40915,0.0016832,0.0016832,0.0016832
18,599.687,1.5324,1.53108,1.38167,0.519,0.35455,0.35085,0.19757,1.63128,1.76446,1.39804,0.0016634,0.0016634,0.0016634
