epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9024,1.53935,2.40537,1.44402,0.00463,0.29773,0.00291,0.00133,2.36141,111.799,2.98484,0.000657143,0.000657143,0.000657143
2,74.8981,1.77373,1.98798,1.57499,0.00985,0.12727,0.00428,0.00174,2.27625,inf,2.41694,0.0013107,0.0013107,0.0013107
3,112.302,1.78418,2.02373,1.60641,0.1241,0.19318,0.08425,0.03853,1.88464,17.4313,1.94137,0.00195106,0.00195106,0.00195106
4,149.656,1.81932,2.06973,1.60692,0.06831,0.24545,0.03402,0.01506,2.01518,13.2612,1.85791,0.0019406,0.0019406,0.0019406
5,186.986,1.79327,1.99296,1.59618,0.26903,0.24773,0.16666,0.08222,2.04034,5.63058,1.78605,0.0019208,0.0019208,0.0019208
6,224.839,1.73053,1.88833,1.55754,0.34901,0.25455,0.21397,0.09983,2.03997,4.80891,1.82938,0.001901,0.001901,0.001901
7,262.688,1.72862,1.89517,1.57401,0.47125,0.275,0.24872,0.13239,1.83423,2.74585,1.61785,0.0018812,0.0018812,0.0018812
8,300.955,1.68411,1.8245,1.5364,0.45979,0.26364,0.24152,0.12903,1.82085,2.43533,1.59581,0.0018614,0.0018614,0.0018614
9,339.437,1.648,1.79478,1.50588,0.55353,0.27273,0.28971,0.13905,1.95181,2.1386,1.6614,0.0018416,0.0018416,0.0018416
10,376.734,1.63668,1.76569,1.48296,0.41176,0.30909,0.27354,0.16122,1.57853,2.02775,1.44136,0.0018218,0.0018218,0.0018218
11,414.302,1.63001,1.73486,1.49711,0.44248,0.32273,0.29888,0.14051,1.9077,2.21515,1.61685,0.001802,0.001802,0.001802
12,451.42,1.58868,1.7047,1.46986,0.55346,0.31591,0.33503,0.17962,1.75021,1.79158,1.54625,0.0017822,0.0017822,0.0017822
13,489.441,1.5876,1.66631,1.4593,0.49907,0.32273,0.32395,0.18748,1.65856,2.18803,1.47033,0.0017624,0.0017624,0.0017624
14,527.328,1.57116,1.66635,1.4488,0.58399,0.31591,0.3596,0.1984,1.6662,1.8288,1.45811,0.0017426,0.0017426,0.0017426
15,564.973,1.54159,1.62609,1.43031,0.47901,0.37273,0.3585,0.20136,1.63524,1.76242,1.46516,0.0017228,0.0017228,0.0017228
16,602.958,1.54786,1.57335,1.42868,0.50824,0.33864,0.34244,0.17423,1.79648,1.91909,1.51155,0.001703,0.001703,0.001703
17,640.969,1.53844,1.59316,1.42878,0.49617,0.34318,0.35389,0.19282,1.70974,2.03621,1.50041,0.0016832,0.0016832,0.0016832
18,678.655,1.54336,1.62701,1.4257,0.48963,0.38593,0.36624,0.21706,1.53783,1.87782,1.39427,0.0016634,0.0016634,0.0016634
19,715.918,1.52536,1.56527,1.41227,0.56197,0.33532,0.36558,0.19821,1.68531,1.81802,1.45488,0.0016436,0.0016436,0.0016436
